,Name,Risk,Category,Rating,1 Year Return,3 Years Return,5 Years Return
268,Baroda BNP Paribas Large Cap Fund Direct Growth,Very High Risk,Equity,5,9.16%,17.02%,13.92%
269,Baroda BNP Paribas Focused Fund Direct Growth,Very High Risk,Equity,3,7.10%,17.01%,10.28%
270,Invesco India Largecap Fund Direct Growth,Very High Risk,Equity,4,2.32%,17.00%,13.24%
271,Sundaram Nifty 100 Equal Weight Fund Direct Growth,Very High Risk,Other,2,5.87%,16.97%,10.36%
272,SBI Flexicap Fund Direct Growth,Very High Risk,Equity,3,5.31%,16.93%,12.07%
273,ICICI Prudential FMCG Direct Growth,Very High Risk,Equity,,21.63%,16.89%,13.75%
274,Motilal Oswal Nasdaq 100 FOF Direct Growth,Very High Risk,Other,,-21.10%,16.89%,NA%
275,Canara Robeco Equity Hybrid Fund Direct Growth,Very High Risk,Hybrid,4,6.36%,16.88%,13.52%
276,Baroda BNP Paribas Aggressive Hybrid Fund Direct Growth,Very High Risk,Hybrid,5,8.72%,16.84%,14.30%
277,Aditya Birla Sun Life Manufacturing Equity Fund Direct Growth,Very High Risk,Equity,,4.04%,16.83%,7.95%
278,HDFC Multi Asset Fund Direct Growth,Very High Risk,Hybrid,4,6.80%,16.77%,11.42%
279,UTI Nifty 50 Index Fund Direct Growth,Very High Risk,Other,3,8.61%,16.76%,14.15%
280,ICICI Prudential Nifty 50 Index Direct Plan Growth,Very High Risk,Other,3,8.61%,16.76%,14.02%
281,Invesco India Tax Plan Direct Growth,Very High Risk,Equity,3,-1.30%,16.76%,12.84%
282,Edelweiss Balanced Advantage Fund Direct Growth,Very High Risk,Hybrid,4,6.20%,16.75%,12.86%
283,JM Large Cap Fund Direct Plan Growth,Very High Risk,Equity,4,6.99%,16.74%,12.03%
284,Mirae Asset Large Cap Fund Direct Growth,Very High Risk,Equity,4,7.06%,16.74%,13.53%
285,Aditya Birla Sun Life Focused Equity Fund Direct Growth,Very High Risk,Equity,3,5.86%,16.73%,12.29%
286,Axis Nifty 100 Index Fund Direct Growth,Moderately High Risk,Other,3,7.96%,16.72%,NA%
287,Tata Nifty 50 Index Direct,Very High Risk,Other,3,8.69%,16.69%,14.12%
288,Nippon India Index Fund Nifty 50 Plan Direct Growth,Very High Risk,Other,3,8.56%,16.68%,14.04%
289,HDFC Housing Opportunities Fund Direct Growth,Very High Risk,Equity,,14.06%,16.66%,NA%
290,HDFC Index Fund Nifty 50 Plan Direct Growth,Very High Risk,Other,3,8.56%,16.64%,14.09%
291,ICICI Prudential S&P BSE Sensex Index Fund Direct Growth,Very High Risk,Other,4,8.64%,16.62%,14.76%
292,DSP Nifty 50 Index Fund Direct Growth,Moderately High Risk,Other,3,8.58%,16.58%,NA%
293,Nippon India Index Fund S&P BSE Sensex Plan Direct Growth,Very High Risk,Other,4,8.69%,16.56%,14.87%
294,Invesco India Growth Opportunities Fund Direct Growth,Very High Risk,Equity,3,6.97%,16.55%,13.22%
295,Baroda BNP Paribas ELSS Direct Growth,Very High Risk,Equity,3,2.22%,16.55%,10.79%
296,Aditya Birla Sun Life Nifty 50 Index Fund Direct Growth,Very High Risk,Other,3,8.44%,16.54%,13.65%
297,SBI Nifty Index Direct Plan Growth,Very High Risk,Other,3,8.60%,16.53%,13.93%
298,Mahindra Manulife Rural Bharat And Consumption Yojana Direct Growth,Very High Risk,Equity,5,13.31%,16.52%,NA%
299,Aditya Birla Sun Life Financial Planning FoF Aggressive Plan Direct Growth,Very High Risk,Other,3,7.54%,16.50%,11.21%
300,LIC MF Nifty 50 Index Fund Direct Growth,Very High Risk,Other,3,8.66%,16.48%,13.67%
301,Franklin India NSE Nifty 50 Index Direct Growth,Very High Risk,Other,3,8.52%,16.46%,13.64%
302,IDBI Nifty Index Fund Direct Growth,Very High Risk,Other,3,8.50%,16.44%,13.87%
303,ICICI Prudential Passive Strategy Fund (FOF) Direct Growth,Very High Risk,Other,3,7.68%,16.43%,12.25%
304,IDFC Large Cap Fund Direct Growth,Very High Risk,Equity,3,2.60%,16.41%,11.74%
305,HDFC Index S&P BSE Sensex Direct Plan Growth,Very High Risk,Other,4,8.68%,16.40%,14.79%
306,Tata Large Cap Direct Plan Growth,Very High Risk,Equity,2,8.05%,16.36%,12.45%
307,Motilal Oswal Long Term Equity Fund Direct Growth,Very High Risk,Equity,2,6.05%,16.35%,11.65%
308,HDFC Top 100 Fund Direct Plan Growth,Very High Risk,Equity,2,14.21%,16.35%,12.16%
309,Quantum Tax Saving Fund Direct Growth,Very High Risk,Equity,2,9.46%,16.28%,9.98%
310,LIC MF S&P BSE Sensex Fund Direct Growth,Very High Risk,Other,3,8.41%,16.26%,14.48%
311,Tata S&P BSE Sensex Index Direct,Very High Risk,Other,4,8.58%,16.23%,14.74%
312,Sundaram Large Cap Fund Direct Growth,Very High Risk,Equity,5,8.90%,16.22%,14.21%
313,IDFC Hybrid Equity Fund Direct Growth,Very High Risk,Hybrid,3,5.68%,16.18%,10.60%
314,Nippon India Tax Saver (ELSS) Fund Direct Growth,Very High Risk,Equity,1,10.43%,16.17%,5.93%
315,Franklin India Equity Hybrid Fund Direct Growth,Very High Risk,Hybrid,3,8.27%,16.16%,11.74%
316,Quantum Long Term Equity Value Fund Direct Growth,Very High Risk,Equity,2,8.88%,16.08%,9.86%
317,Sundaram Smart NIFTY 100 Equal Weight Fund Direct Growth,Very High Risk,Other,2,34.35%,16.08%,NA%
318,Sundaram Consumption Fund Direct Growth,Very High Risk,Equity,1,13.43%,16.06%,9.46%
319,Union Largecap Fund Direct Growth,Very High Risk,Equity,2,3.46%,16.02%,11.55%
320,UTI Nifty Next 50 Index Fund Direct Growth,Very High Risk,Other,3,4.34%,16.00%,NA%
321,L&T Large and Midcap Fund Direct Growth,Very High Risk,Equity,2,2.51%,15.97%,8.82%
322,ICICI Prudential Retirement Fund Hybrid Aggressive Plan Direct Growth,Moderately High Risk,Solution Oriented,4,5.95%,15.93%,NA%
323,Sundaram Aggressive Hybrid Fund Direct Growth,High Risk,Hybrid,3,7.06%,15.90%,11.93%
324,Shriram Long Term Equity Fund Direct Growth,Very High Risk,Equity,3,6.23%,15.88%,NA%
325,Franklin India Bluechip Direct Fund Growth,Very High Risk,Equity,2,2.70%,15.87%,10.92%
326,SBI Magnum Equity ESG Fund Direct Plan Growth,Very High Risk,Equity,,2.21%,15.82%,13.79%
327,Kotak Flexicap Fund Direct Growth,Very High Risk,Equity,3,9.89%,15.82%,12.74%
328,IDBI Nifty Junior Index Fund Direct Growth,Very High Risk,Other,1,4.74%,15.79%,8.76%
329,Nippon India Nifty Next 50 Junior BeES FoF Direct Growth,Moderately High Risk,Other,3,4.31%,15.79%,NA%
330,Mirae Asset Hybrid Equity Fund Direct Growth,Very High Risk,Hybrid,4,6.23%,15.71%,13.15%
331,DSP Nifty Next 50 Index Fund Direct Growth,Moderately High Risk,Other,3,4.48%,15.71%,NA%
332,Tata Hybrid Equity Fund Direct Plan Growth,Very High Risk,Hybrid,3,10.87%,15.71%,11.50%
333,ICICI Prudential Nifty Next 50 Index Direct Growth,Very High Risk,Other,1,4.28%,15.70%,8.69%
334,Aditya Birla Sun Life International Equity Fund Plan B Direct Growth,Very High Risk,Equity,,26.07%,15.65%,12.41%
335,HDFC Dynamic PE Ratio FoF Direct Growth,High Risk,Other,4,10.03%,15.56%,10.54%
336,DSP US Flexible Equity Direct Plan Growth,Very High Risk,Other,,1.16%,15.47%,14.22%
337,IDFC Flexi Cap Fund Direct Growth,Very High Risk,Equity,2,5.13%,15.39%,9.52%
338,Quantum Equity Fund of Funds Direct Growth,Very High Risk,Other,2,3.52%,15.33%,10.32%
339,HSBC Managed Solutions India Growth Fund Direct Growth,Very High Risk,Other,2,4.71%,15.30%,10.04%
340,Taurus Tax Shield Direct Growth,Very High Risk,Equity,3,9.56%,15.23%,11.35%
341,Aditya Birla Sun Life Equity Advantage Fund Direct Growth,Very High Risk,Equity,1,-6.79%,15.22%,8.88%
342,Shriram Flexi Cap Fund Direct Growth,Very High Risk,Equity,2,8.94%,15.22%,NA%
343,L&T Flexicap Fund Direct Growth,Very High Risk,Equity,2,2.98%,15.14%,9.75%
344,Aditya Birla Sun Life Asset Allocator FoF Direct Growth,High Risk,Other,5,4.67%,15.12%,10.33%
345,HSBC Large Cap Fund Direct Growth,Very High Risk,Equity,2,6.56%,15.12%,12.40%
346,Navi ELSS Tax Saver Fund Direct Growth,Very High Risk,Equity,2,5.80%,15.05%,10.96%
347,Baroda Hybrid Equity Fund Direct Plan Growth,Very High Risk,Hybrid,3,15.64%,15.04%,12.27%
348,IDBI Equity Advantage Fund Direct Growth,Very High Risk,Equity,2,8.95%,15.02%,10.74%
349,LIC MF Large Cap Fund Direct Growth,Very High Risk,Equity,3,3.08%,14.97%,12.71%
350,Axis Flexi Cap Fund Direct Growth,Very High Risk,Equity,4,-4.50%,14.92%,14.60%
351,PGIM India Large Cap Fund Direct Plan Growth,Very High Risk,Equity,2,7.01%,14.88%,12.06%
352,HSBC ELSS Fund Direct Growth,Very High Risk,Equity,1,3.76%,14.84%,9.13%
353,Motilal Oswal Focused Fund Direct Growth,Very High Risk,Equity,2,5.42%,14.83%,12.16%
354,DSP Equity & Bond Direct Growth,Very High Risk,Hybrid,3,1.13%,14.77%,11.35%
355,Tata Balanced Advantage Fund Direct Growth,High Risk,Hybrid,4,9.12%,14.72%,NA%
356,Franklin India Life Stage FoF The 20s Plan Direct Growth,Very High Risk,Other,2,5.36%,14.70%,9.35%
357,UTI India Consumer Fund Direct Growth,Very High Risk,Equity,2,0.98%,14.67%,10.37%
358,L&T India Large Cap Fund Direct Growth,Very High Risk,Equity,2,3.92%,14.67%,11.47%
359,Tata Flexi Cap Fund Direct Growth,Very High Risk,Equity,3,1.27%,14.67%,NA%
360,Baroda Large Cap Direct Fund Growth,Very High Risk,Equity,2,6.97%,14.64%,11.35%
361,Bank of India Conservative Hybrid Fund Direct Growth,Moderately High Risk,Hybrid,4,22.74%,14.61%,6.72%
362,HSBC ELSS Fund Direct Growth,Very High Risk,Equity,1,1.53%,14.59%,8.47%
363,IDFC Focused Equity Fund Direct Growth,Very High Risk,Equity,2,2.39%,14.38%,8.03%
364,ITI Long Term Equity Fund Direct Growth,Moderately High Risk,Equity,2,6.15%,14.38%,NA%
365,ICICI Prudential Asset Allocator Fund (FOF) Direct Growth,Moderately High Risk,Other,4,9.83%,14.37%,12.64%
366,Indiabulls Equity Hybrid Fund Direct Growth,Very High Risk,Hybrid,2,7.80%,14.37%,NA%
367,Indiabulls Tax Savings Fund Direct Growth,Very High Risk,Equity,2,7.36%,14.36%,NA%
368,Edelweiss US Value Equity Offshore Fund Direct Growth,Very High Risk,Other,,10.89%,14.35%,13.20%
369,SBI Equity Hybrid Fund Direct Plan Growth,Very High Risk,Hybrid,4,5.40%,14.31%,11.88%
370,Axis Triple Advantage Direct Plan Growth,Very High Risk,Hybrid,2,-1.83%,14.15%,12.31%
371,Motilal Oswal Equity Hybrid Fund Direct Growth,Very High Risk,Hybrid,3,6.64%,14.02%,NA%
372,IDBI Hybrid Equity Fund Direct Growth,Very High Risk,Hybrid,2,2.43%,13.94%,8.18%
373,Axis Bluechip Fund Direct Plan Growth,Very High Risk,Equity,5,-2.09%,13.81%,14.44%
374,Sundaram Financial Services Opportunities Fund Direct Growth,Very High Risk,Equity,4,14.31%,13.79%,12.61%
375,ICICI Prudential US Bluechip Equity Direct Plan Growth,Very High Risk,Equity,,2.87%,13.79%,16.08%
376,Tata Retirement Savings Fund Progressive Plan Direct Growth,Very High Risk,Solution Oriented,3,1.02%,13.74%,10.66%
377,Taurus Largecap Equity Fund Direct Growth,Very High Risk,Equity,1,10.53%,13.69%,9.32%
378,LIC MF Tax Direct Plan Growth,Very High Risk,Equity,3,3.02%,13.69%,11.55%
379,HSBC Managed Solutions India Moderate Fund Direct Growth,High Risk,Other,2,4.37%,13.67%,9.35%
380,Aditya Birla Sun Life Commodity Equities Fund Global Agri Plan Direct Growth,Very High Risk,Equity,,29.21%,13.59%,9.45%
381,Tata Retirement Savings Fund Moderate Plan Direct Growth,Very High Risk,Solution Oriented,3,2.65%,13.58%,10.30%
382,HSBC Equity Hybrid Fund Direct Growth,Very High Risk,Hybrid,3,1.08%,13.54%,NA%
383,UTI MNC Fund Direct Growth,Very High Risk,Equity,,4.11%,13.52%,9.15%
384,Kotak Global Emerging Market Fund Direct Growth,Very High Risk,Other,,-6.23%,13.49%,10.77%
385,Aditya Birla Sun Life Financial Planning FoF Moderate Plan Direct Growth,High Risk,Other,3,6.38%,13.36%,9.76%
386,Nippon India Retirement Fund Wealth Creation Scheme Direct Growth,Very High Risk,Solution Oriented,1,6.74%,13.33%,8.26%
387,Mahindra Manulife Equity Savings Dhan Sanchay Yojana Direct Growth,Moderately High Risk,Hybrid,4,6.11%,13.32%,9.91%
388,Kotak US Equity Fund Standard Direct Growth,High Risk,Other,1,17.14%,13.24%,11.67%
389,UTI Retirement Benefit Pension Fund Direct,High Risk,Solution Oriented,,7.12%,13.23%,7.84%
390,Aditya Birla Sun Life Equity Hybrid '95 Fund Direct Growth,Very High Risk,Hybrid,2,2.01%,13.18%,8.43%
391,Indiabulls Bluechip Direct Fund Growth,Very High Risk,Equity,2,8.63%,13.10%,11.24%
392,Axis Equity Hybrid Fund Direct Growth,Very High Risk,Hybrid,3,-2.08%,13.10%,NA%
393,Aditya Birla Sun Life Balanced Advantage Fund Direct Growth,Very High Risk,Hybrid,3,7.19%,13.08%,10.25%
394,Nippon India Balanced Advantage Fund Direct Growth,Very High Risk,Hybrid,3,8.71%,13.01%,10.64%
395,Navi Equity Hybrid Fund Direct Growth,Very High Risk,Hybrid,3,8.00%,12.96%,NA%
396,Tata Banking and Financial Services Fund Direct Growth,Very High Risk,Equity,4,13.39%,12.83%,13.27%
397,Nippon India Banking & Financial Services Fund Direct Growth,Very High Risk,Equity,3,18.30%,12.80%,10.41%
398,L&T Focused Equity Fund Direct Growth,Very High Risk,Equity,3,-0.49%,12.76%,NA%
399,ICICI Prudential Balanced Advantage Direct Growth,High Risk,Hybrid,4,9.44%,12.71%,10.80%
400,Mirae Asset Equity Savings Fund Direct Growth,Moderately High Risk,Hybrid,5,5.79%,12.71%,NA%
401,Axis Long Term Equity Direct Plan Growth,Very High Risk,Equity,2,-9.46%,12.69%,11.93%
402,Taurus Flexi Cap Fund Direct Growth,Very High Risk,Equity,1,8.21%,12.68%,7.14%
403,HSBC Aggressive Hybrid Fund Direct Growth,Very High Risk,Hybrid,2,1.63%,12.66%,8.86%
404,Union Balanced Advantage Fund Direct Growth,Moderate Risk,Hybrid,3,4.85%,12.61%,NA%
405,Shriram Hybrid Equity Fund Direct Growth,Very High Risk,Hybrid,2,6.45%,12.54%,10.30%
406,Aditya Birla Sun Life Global Emerging Opportunities Fund Direct Growth,Very High Risk,Other,,-7.51%,12.45%,10.10%
407,SBI Multi Asset Allocation Fund Direct Growth,Very High Risk,Hybrid,3,8.37%,12.43%,10.20%
408,PGIM India Hybrid Equity Fund Direct Plan Growth,Very High Risk,Hybrid,1,-0.21%,12.38%,9.53%
409,HSBC Aggressive Hybrid Fund Direct Growth,Very High Risk,Hybrid,2,-0.25%,12.36%,8.36%
410,Invesco India Equity & Bond Fund Direct Growth,Very High Risk,Hybrid,2,5.24%,12.29%,NA%
411,Kotak Debt Hybrid Fund Direct Growth,Moderately High Risk,Hybrid,5,6.17%,12.20%,9.88%
412,Taurus Banking & Financial Services Fund Direct Growth,Very High Risk,Equity,4,15.36%,12.09%,13.16%
413,Kotak Balanced Advantage Fund Direct Growth,High Risk,Hybrid,3,6.37%,12.07%,NA%
414,Navi Large Cap Equity Fund Direct Growth,Very High Risk,Equity,2,-0.54%,12.05%,8.79%
415,IDFC Asset Allocation Aggressive Direct Plan Growth,Very High Risk,Other,2,2.40%,12.03%,7.86%
416,Invesco India Financial Services Fund Direct Growth,Very High Risk,Equity,4,10.66%,12.02%,11.68%
417,DSP Focus Direct Plan Growth,Very High Risk,Equity,2,1.80%,12.00%,10.37%
418,JM Focused Direct Plan Growth,Very High Risk,Equity,1,10.47%,11.97%,9.45%
419,Axis Focused 25 Direct Plan Growth,Very High Risk,Equity,3,-11.21%,11.97%,11.51%
420,Franklin India Dynamic Asset Allocation Fund of Funds Direct Growth,Moderately High Risk,Other,3,10.13%,11.89%,10.03%
421,SBI Banking & Financial Services Fund Direct Growth,Very High Risk,Equity,5,11.63%,11.89%,13.79%
422,Shriram Balanced Advantage Fund Direct Growth,Moderately High Risk,Hybrid,4,7.92%,11.84%,NA%
423,HDFC Equity Savings Direct Plan Growth,Moderately High Risk,Hybrid,4,7.70%,11.75%,9.09%
424,SBI Conservative Hybrid Fund Direct Growth,Moderately High Risk,Hybrid,4,5.85%,11.68%,8.71%
425,LIC MF Flexi Cap Fund Direct Growth,Very High Risk,Equity,2,1.91%,11.66%,8.62%
426,Aditya Birla Sun Life Banking & Financial Services Fund Direct Growth,Very High Risk,Equity,2,9.55%,11.65%,9.98%
427,DSP Top 100 Equity Direct Plan Growth,Very High Risk,Equity,1,6.47%,11.64%,10.16%
428,Bank of India Balanced Advantage Fund Direct Growth,Very High Risk,Hybrid,2,18.50%,11.62%,6.28%
429,Aditya Birla Sun Life Retirement Fund The 30s Plan Direct Growth,Moderately High Risk,Solution Oriented,2,4.20%,11.54%,NA%
430,HDFC Gold Direct Plan Growth,High Risk,Other,4,11.80%,11.46%,12.01%
431,Axis Gold Direct Plan Growth,High Risk,Other,4,11.86%,11.44%,12.57%
432,ITI Multi Cap Fund Direct Growth,Moderately High Risk,Equity,,6.75%,11.39%,NA%
433,SBI Gold Direct Plan Growth,High Risk,Other,3,12.23%,11.39%,12.02%
434,UTI Equity Savings Fund Direct Growth,Moderately High Risk,Hybrid,4,7.85%,11.38%,NA%
435,Navi 3 in 1 Fund Direct Growth,Very High Risk,Hybrid,2,2.26%,11.36%,8.96%
436,Kotak Gold Fund Direct Growth,High Risk,Other,3,10.80%,11.17%,12.26%
437,Invesco India Gold Fund Direct Growth,High Risk,Other,1,11.81%,11.16%,11.90%
438,IDBI Gold Direct Growth,High Risk,Other,5,12.27%,11.09%,11.46%
439,Nippon India Gold Savings Fund Direct Growth,High Risk,Other,2,11.80%,11.08%,11.73%
440,Franklin Asian Equity Direct Fund Growth,Very High Risk,Equity,,-10.94%,11.07%,10.82%
441,ICICI Prudential Regular Gold Savings (FOF) Direct Growth,High Risk,Other,3,11.38%,11.07%,11.62%
442,JM Low Duration Fund Direct Plan Growth,Low to Moderate Risk,Debt,4,4.40%,11.07%,5.27%
443,Edelweiss Equity Savings Fund Direct Growth,Moderately High Risk,Hybrid,5,5.65%,11.06%,9.50%
444,IDFC Balanced Advantage Fund Direct Growth,Very High Risk,Hybrid,3,1.72%,10.96%,9.37%
445,Quantum Gold Savings Fund Direct Growth,High Risk,Other,2,11.80%,10.94%,11.63%
446,Franklin India Life Stage FoF The 30s Plan Direct Growth,High Risk,Other,,4.81%,10.94%,8.04%
447,HSBC Equity Savings Fund Direct Growth,Moderate Risk,Hybrid,2,4.16%,10.92%,7.68%
448,Aditya Birla Sun Life Gold Direct Fund Growth,High Risk,Other,4,11.48%,10.91%,11.60%
449,UTI Multi Asset Fund Direct Growth,Very High Risk,Hybrid,2,6.96%,10.91%,7.91%
450,ICICI Prudential Banking and Financial Services Direct Plan Growth,Very High Risk,Equity,3,11.45%,10.89%,9.98%
451,LIC MF Banking & Financial Services Fund Direct Growth,Very High Risk,Equity,1,17.43%,10.88%,6.13%
452,Sundaram Equity Savings Fund Direct Growth,Moderately High Risk,Hybrid,4,7.06%,10.78%,8.80%
453,HSBC Equity Savings Fund Direct Growth,Moderate Risk,Hybrid,2,3.55%,10.74%,7.54%
454,PGIM India Global Equity Opportunities Fund Direct Growth,Very High Risk,Other,,-31.08%,10.73%,12.91%
455,Kotak Equity Savings Fund Direct Growth,Moderately High Risk,Hybrid,4,8.26%,10.72%,9.31%
456,Aditya Birla Sun Life Retirement Fund The 40s Plan Direct Growth,Moderately High Risk,Solution Oriented,2,3.82%,10.67%,NA%
457,Nippon India Equity Hybrid Fund Direct Growth,Very High Risk,Hybrid,1,9.84%,10.57%,6.85%
458,Axis Balanced Advantage Fund Direct Growth,Very High Risk,Hybrid,3,3.59%,10.55%,9.06%
459,UTI Focussed Equity Fund Series VI (1150 Days) Direct Growth,Very High Risk,Equity,,63.05%,10.50%,NA%
460,HDFC Hybrid Debt Fund Direct Growth,Moderately High Risk,Hybrid,3,7.09%,10.50%,7.84%
461,Franklin India Equity Savings Fund Direct Growth,Moderately High Risk,Hybrid,3,6.19%,10.47%,NA%
462,Aditya Birla Sun Life Regular Savings Fund Direct Growth,Moderately High Risk,Hybrid,3,6.91%,10.47%,7.41%
463,Aditya Birla Sun Life Financial Planning FoF Conservative Plan Direct Growth,Moderately High Risk,Other,4,5.52%,10.46%,8.32%
464,Motilal Oswal Nifty Bank Index Fund Direct Growth,High Risk,Other,2,18.68%,10.44%,NA%
465,Canara Robeco Conservative Hybrid Fund Direct Growth,Moderately High Risk,Hybrid,5,4.74%,10.41%,9.32%
466,Motilal Oswal Flexi Cap Fund Direct Growth,Very High Risk,Equity,1,2.20%,10.41%,6.94%
467,Reliance Focused Large Cap Fund Direct Growth,Moderately High Risk,Equity,3,9.37%,10.27%,16.38%
468,Invesco India Dynamic Equity Fund Direct Growth,Very High Risk,Hybrid,2,7.19%,10.27%,8.00%
469,Aditya Birla Sun Life Tax Relief 96 Direct Growth,Very High Risk,Equity,1,1.80%,10.26%,7.73%
470,LIC MF Equity Hybrid Fund Direct Growth,Very High Risk,Hybrid,2,2.32%,10.18%,8.65%
471,SBI Equity Savings Fund Direct Growth,Moderately High Risk,Hybrid,3,3.49%,10.17%,8.69%
472,Nippon India US Equity Opportunities Fund Direct Growth,Very High Risk,Equity,,-11.60%,10.11%,13.84%
473,Invesco India Invesco Global Equity Income FoF Direct Growth,Very High Risk,Other,3,1.75%,10.11%,8.85%
474,Aditya Birla Sun Life International Equity Fund Plan A Direct Growth,Very High Risk,Equity,,5.14%,10.10%,11.71%
475,Edelweiss Europe Dynamic Equity Offshore Fund Direct Growth,Very High Risk,Other,,-1.05%,10.10%,7.16%
476,Axis Equity Saver Fund Direct Growth,Moderately High Risk,Hybrid,3,2.78%,10.07%,9.55%
477,Baroda Conservative Hybrid Fund Direct Growth,Moderately High Risk,Hybrid,4,4.24%,9.98%,8.77%
478,DSP Equity Savings Fund Direct Growth,Moderately High Risk,Hybrid,2,6.88%,9.91%,7.88%
479,ICICI Prudential Regular Savings Fund Direct Growth,Moderately High Risk,Hybrid,5,6.60%,9.85%,9.12%
480,ICICI Prudential Income Optimizer Fund (FOF) Direct Growth,Moderately High Risk,Other,4,7.87%,9.85%,9.00%
481,Quantum Multi Asset Fund of Funds Direct Growth,Moderately High Risk,Other,3,7.75%,9.80%,8.45%
482,ICICI Prudential Global Stable Equity Fund (FOF) Direct Growth,Very High Risk,Other,,10.06%,9.80%,10.08%
483,UTI Regular Savings Fund Direct Growth,Moderately High Risk,Hybrid,3,4.50%,9.79%,7.43%
484,HSBC Balanced Advantage Fund Direct Growth,Moderately High Risk,Hybrid,3,4.23%,9.77%,8.64%
485,Axis Regular Saver Fund Direct Growth,Moderately High Risk,Hybrid,3,2.57%,9.74%,7.45%
486,ICICI Prudential Regular Savings Fund Direct Growth,Moderately High Risk,Hybrid,5,4.81%,9.71%,8.87%
487,HDFC Fixed Maturity Plan 1141 Days August 2018 (1) Direct Growth,Moderately High Risk,Debt,3,9.19%,9.52%,NA%
488,DSP Dynamic Asset Allocation Fund Direct Growth,Moderately High Risk,Hybrid,4,2.92%,9.49%,8.79%
489,Bank of India Short Term Income Fund Direct Growth,Moderate Risk,Debt,5,27.23%,9.45%,4.00%
490,IDBI Banking & Financial Services Fund Direct Growth,Very High Risk,Equity,2,8.40%,9.40%,NA%
491,UTI Dynamic Bond Fund Direct Growth,Low to Moderate Risk,Debt,,10.29%,9.37%,5.86%
492,UTI Banking and Financial Services Fund Direct Plan Growth,Very High Risk,Equity,2,12.40%,9.37%,7.08%
493,IDBI Equity Savings Fund Direct Growth,Moderately High Risk,Hybrid,2,5.76%,9.33%,7.89%
494,Tata Equity Savings Fund Direct Growth,Moderate Risk,Hybrid,2,5.38%,9.32%,7.85%
495,IDFC Asset Allocation Moderate Direct Growth,High Risk,Other,,2.55%,9.30%,7.39%
496,HSBC Balanced Advantage Fund Direct Growth,Moderately High Risk,Hybrid,3,2.79%,9.29%,8.34%
497,Sundaram Debt Oriented Hybrid Fund Direct Plan Growth,Moderately High Risk,Hybrid,2,4.63%,9.24%,6.17%
498,Baroda BNP Paribas Credit Risk Fund Direct Growth,Moderate Risk,Debt,5,5.32%,9.21%,7.49%
499,HDFC Retirement Savings Fund Hybrid Debt Plan Direct Growth,Moderately High Risk,Solution Oriented,4,5.28%,9.15%,7.73%
500,Tata Dividend Yield Fund Direct Growth,Very High Risk,Equity,,8.26%,9.08%,16.72%
501,Aditya Birla Sun Life Equity Savings Fund Direct Growth,Moderately High Risk,Hybrid,2,1.06%,9.02%,7.24%
502,DSP World Energy Fund Direct Plan Growth,Very High Risk,Other,,-5.07%,8.84%,6.18%
503,IDFC Equity Savings Fund Direct Growth,Low to Moderate Risk,Hybrid,3,4.45%,8.83%,7.30%
504,Baroda BNP Paribas Banking and Financial Services Direct Growth,Very High Risk,Equity,2,13.06%,8.79%,10.11%
505,Baroda BNP Paribas Equity Savings Fund Direct Growth,Moderately High Risk,Hybrid,3,6.03%,8.78%,NA%
506,IDBI Short Term Bond Fund Direct Growth,Low to Moderate Risk,Debt,4,3.25%,8.71%,6.88%
507,ICICI Prudential Retirement Fund Hybrid Conservative Plan Direct Growth,Moderately High Risk,Solution Oriented,3,3.86%,8.65%,NA%
508,HSBC Conservative Hybrid Fund Direct Growth,Moderately High Risk,Hybrid,3,3.30%,8.50%,7.21%
509,DSP Regular Savings Direct Plan Growth,Moderately High Risk,Hybrid,2,4.99%,8.38%,5.86%
510,DSP Global Allocation Fund Direct Growth,Very High Risk,Other,,-3.81%,8.35%,8.02%
511,PGIM India Equity Savings Fund Direct Growth,Low to Moderate Risk,Hybrid,3,4.30%,8.23%,8.10%
512,UTI Fixed Term Income Fund Series XXX II (1107 Days) Direct Growth,Low to Moderate Risk,Debt,,4.18%,8.17%,NA%
513,UTI Fixed Term Income Fund Series XXIX VIII (1127 Days) Direct Growth,Low to Moderate Risk,Debt,,4.19%,8.15%,NA%
514,Franklin India Life Stage FoF The 50s Plus Floating Rate Direct Plan Growth,Moderate Risk,Other,3,5.63%,8.13%,7.47%
515,ICICI Prudential Equity Savings Fund Direct Growth,Low to Moderate Risk,Hybrid,3,7.84%,8.09%,7.88%
516,Union Equity Savings Fund Direct Growth,Moderate Risk,Hybrid,2,3.10%,8.06%,NA%
517,Invesco India Invesco Pan European Equity FoF Direct Growth,Very High Risk,Other,3,4.79%,8.00%,5.21%
518,UTI Short term Income Direct Growth,Moderate Risk,Debt,5,4.16%,7.95%,5.27%
519,Tata Retirement Savings Fund Conservative Plan Direct Growth,Moderately High Risk,Solution Oriented,3,2.36%,7.94%,7.20%
520,Invesco India Equity Savings Fund Direct Growth,Moderately High Risk,Hybrid,2,1.65%,7.90%,NA%
521,UTI Fixed Term Income Fund Series XXIII XV (1176 Days) Direct Growth,Moderate Risk,Debt,,7.75%,7.88%,NA%
522,Baroda BNP Paribas Conservative Hybrid Fund Direct Growth,Moderately High Risk,Hybrid,4,4.53%,7.86%,7.69%
523,ICICI Prudential All Seasons Bond Fund Direct Plan Growth,Moderate Risk,Debt,5,4.91%,7.75%,8.01%
